original_names,new_names
dmlR_2,dmlR_2
feaB,feaB
frc_3,frc_3
group_10577,group_10577
group_10652,group_10652
group_10921,group_10921
group_11482,group_11482
group_11710,group_11710
group_13790,group_13790
group_14171,group_14171
group_14523,group_14523
group_15358,group_15358
group_15371,group_15371
group_15507,group_15507
group_1586,group_1586
group_16027,group_16027
group_16143,group_16143
group_16648,group_16648
group_16706,group_16706
group_17086,group_17086
group_17225,group_17225
group_17373,group_17373
group_17404,group_17404
group_17488,group_17488
group_17499,group_17499
group_18218,group_18218
group_18332,group_18332
group_18731,group_18731
group_1905,group_1905
group_19062,group_19062
group_19225,group_19225
group_1962,group_1962
group_19908,group_19908
group_20094,group_20094
group_20171,group_20171
group_20323,group_20323
group_2052,group_2052
group_21063,group_21063
group_21314,group_21314
group_21526,group_21526
group_21558,group_21558
group_21646,group_21646
group_21674,group_21674
group_21679,group_21679
group_21740,group_21740
group_21785,group_21785
group_21896,group_21896
group_21954,group_21954
group_22077,group_22077
group_22370,group_22370
group_22460,group_22460
group_22529,group_22529
group_24553,group_24553
group_24615,group_24615
group_24616,group_24616
group_24713,group_24713
group_25460,group_25460
group_25770,group_25770
group_26360,group_26360
group_2721,group_2721
group_27488,group_27488
group_29572,group_29572
group_30173,group_30173
group_3240,group_3240
group_3474,group_3474
group_4033,group_4033
group_4420,group_4420
group_5103,group_5103
group_5389,group_5389
group_5672,group_5672
group_5812,group_5812
group_6059,group_6059
group_6504,group_6504
group_6631,group_6631
group_6846,group_6846
group_6960,group_6960
group_7007,group_7007
group_7182,group_7182
group_7309,group_7309
group_7396,group_7396
group_7557,group_7557
group_7625,group_7625
group_7730,group_7730
group_7953,group_7953
group_827,group_827
hcaR_4~~~hcaR_1,hcaR_4~~~hcaR_1
lip2_3,lip2_3
macB_4~~~macB_2~~~macB_1,macB_4~~~macB_2~~~macB_1
manC1_2~~~manC1~~~rfbM,manC1_2~~~manC1~~~rfbM
mcl1,mcl1
mshA~~~mshA_1,mshA~~~mshA_1
outO_1~~~outO_2,outO_1~~~outO_2
prpC,prpC
prpD~~~prpD_2,prpD~~~prpD_2
prpR,prpR
prtA,prtA
spsA,spsA
tolA_3~~~tolA_1,tolA_3~~~tolA_1
uhpA_3,uhpA_3
